insideTemperature;summary;outsideTemperature;date
17.39;Clear;5.83;05/04/2001
17.25;Clear;4.96;06/04/2001
16.46;Clear;6.77;07/04/2001
16.09;Clear;4.81;08/04/2001
17.23;Clear;5.05;09/04/2001
19.95;Clear;7.2;10/04/2001
22.38;Clear;9.57;11/04/2001
25.17;Clear;14.11;12/04/2001
27.51;Clear;16.44;13/04/2001
28.95;Clear;18.17;14/04/2001
30.1;Clear;19.73;15/04/2001
30.11;Clear;20.41;16/04/2001
28.92;Clear;19.65;17/04/2001
26.99;Clear;18.44;18/04/2001
26.1;Clear;17.17;19/04/2001
24.36;Clear;15.82;20/04/2001
24.13;Clear;16.41;21/04/2001
23.63;Clear;16.09;22/04/2001
23.3;Clear;14.62;23/04/2001
22.35;Clear;15.28;24/04/2001
22.0;Clear;14.38;25/04/2001
21.25;Clear;14.62;26/04/2001
20.21;Clear;13.68;27/04/2001
19.05;Clear;10.53;28/04/2001
17.91;Clear;9.98;29/04/2001
16.75;Clear;8.96;30/04/2001
16.15;Clear;8.56;01/05/2001
15.58;Clear;6.94;02/05/2001
15.88;Clear;7.51;03/05/2001
21.11;Clear;12.8;04/05/2001
24.56;Clear;14.08;05/05/2001
27.25;Clear;16.38;06/05/2001
28.62;Clear;17.78;07/05/2001
29.73;Clear;18.63;08/05/2001
30.38;Clear;20.09;09/05/2001
30.23;Clear;19.9;10/05/2001
29.23;Clear;18.98;11/05/2001
26.92;Clear;16.58;12/05/2001
25.14;Clear;15.95;13/05/2001
24.22;Clear;13.75;14/05/2001
23.15;Clear;12.8;15/05/2001
21.73;Clear;10.89;16/05/2001
20.95;Clear;10.71;17/05/2001
19.28;Clear;8.71;18/05/2001
17.9;Clear;6.51;19/05/2001
17.23;Clear;6.56;20/05/2001
16.39;Clear;5.05;21/05/2001
15.27;Clear;4.31;22/05/2001
14.45;Clear;3.57;23/05/2001
14.73;Clear;4.06;24/05/2001
13.94;Clear;5.41;25/05/2001
13.73;Clear;4.66;26/05/2001
14.56;Clear;6.82;27/05/2001
19.02;Clear;8.18;28/05/2001
22.48;Clear;10.08;29/05/2001
25.11;Clear;13.11;30/05/2001
26.55;Clear;15.31;31/05/2001
27.77;Clear;19.0;01/06/2001
28.05;Clear;18.81;02/06/2001
27.73;Clear;19.72;03/06/2001
27.06;Clear;20.06;04/06/2001
26.23;Clear;19.58;05/06/2001
24.71;Clear;18.86;06/06/2001
23.5;Clear;17.01;07/06/2001
21.82;Clear;15.29;08/06/2001
21.27;Clear;14.73;09/06/2001
20.06;Clear;12.19;10/06/2001
19.96;Clear;11.31;11/06/2001
19.51;Clear;11.05;12/06/2001
19.85;Clear;10.95;13/06/2001
20.13;Clear;11.75;14/06/2001
20.51;Clear;10.48;15/06/2001
20.63;Clear;10.26;16/06/2001
20.87;Clear;10.73;17/06/2001
21.36;Clear;10.35;18/06/2001
21.69;Clear;10.47;19/06/2001
22.33;Clear;11.38;20/06/2001
22.71;Clear;12.06;21/06/2001
23.05;Clear;11.12;22/06/2001
23.98;Partly Cloudy;10.67;23/06/2001
24.68;Clear;12.47;24/06/2001
25.11;Partly Cloudy;12.56;25/06/2001
24.98;Partly Cloudy;12.25;26/06/2001
24.67;Clear;12.47;27/06/2001
24.27;Clear;11.8;28/06/2001
23.37;Flurries;10.83;29/06/2001
22.91;Light Snow;10.03;30/06/2001
22.8;Light Snow;10.9;01/07/2001
22.95;Light Snow;10.67;02/07/2001
23.39;Clear;11.4;03/07/2001
23.09;Clear;9.97;04/07/2001
22.58;Clear;10.01;05/07/2001
21.89;Clear;9.27;06/07/2001
21.34;Clear;9.43;07/07/2001
20.14;Clear;8.87;08/07/2001
